image_id,image_label,success_rate,incidentType,timeOfDay,roadConditions,weatherConditions,injuries,vehicleDamage,thirdPartyVehicle,witnesses,policeReport,policeReportFiledWithin24h,trafficViolation,previousClaims,description
110,0,77.84515585329524,Natural Disaster,Afternoon,Wet,Clear,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
111,0,79.6110243447568,Collision,Afternoon,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
112,0,87.37456404238134,Theft,Night,Dry,Rain,no,fraud-related-damage,yes,no,no,1,0,0,A brief description of the incident.
113,0,83.3940741767159,Fire,Afternoon,Wet,Clear,no,fraud-related-damage,no,yes,no,1,0,0,A brief description of the incident.
114,0,85.51989280585691,Fire,Morning,Wet,Fog,yes,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
115,0,57.398260458675125,Natural Disaster,Morning,Wet,Clear,no,fraud-related-damage,no,no,yes,1,0,2,A brief description of the incident.
116,0,64.0791586832228,Fire,Night,Construction Zone,Fog,no,fraud-related-damage,no,no,no,0,0,0,A brief description of the incident.
117,0,78.65697647348586,Fire,Afternoon,Poor Visibility,Clear,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
118,0,84.02870942076679,Fire,Morning,Construction Zone,Fog,yes,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
119,0,73.75161609303404,Vandalism,Morning,Wet,Fog,yes,fraud-related-damage,no,no,no,1,0,1,A brief description of the incident.
120,0,54.7211184178396,Fire,Morning,Wet,Heavy Rain,no,fraud-related-damage,yes,no,no,0,0,1,A brief description of the incident.
121,0,82.39212213911311,Theft,Evening,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
122,0,71.8110427855259,Fire,Morning,Poor Visibility,Clear,no,fraud-related-damage,no,no,yes,1,0,1,A brief description of the incident.
123,0,54.52179489792385,Natural Disaster,Morning,Construction Zone,Rain,no,fraud-related-damage,yes,no,yes,1,1,1,A brief description of the incident.
124,0,79.03838287436925,Vandalism,Afternoon,Construction Zone,Rain,yes,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
125,0,83.76943762678391,Natural Disaster,Evening,Construction Zone,Clear,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
126,0,59.98368088460575,Natural Disaster,Evening,Wet,Clear,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
127,0,75.58715017680912,Collision,Evening,Poor Visibility,Clear,no,fraud-related-damage,yes,no,yes,1,0,1,A brief description of the incident.
128,0,76.33691362039065,Collision,Morning,Wet,Clear,no,fraud-related-damage,yes,no,no,1,0,1,A brief description of the incident.
129,0,84.0695180500809,Fire,Morning,Construction Zone,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
130,0,60.56147261873236,Fire,Morning,Construction Zone,Fog,no,fraud-related-damage,no,no,no,1,0,2,A brief description of the incident.
131,0,49.730724865671476,Fire,Night,Dry,Rain,no,fraud-related-damage,no,no,yes,1,0,3,A brief description of the incident.
132,0,65.11722511958142,Collision,Evening,Dry,Heavy Rain,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
133,0,69.91771239518184,Fire,Night,Wet,Fog,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
134,0,78.43217673079494,Vandalism,Evening,Poor Visibility,Rain,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
135,0,46.359654034426136,Collision,Night,Wet,Fog,no,fraud-related-damage,yes,no,no,1,1,1,A brief description of the incident.
136,0,58.48121646854396,Vandalism,Evening,Construction Zone,Heavy Rain,no,fraud-related-damage,no,yes,yes,1,0,3,A brief description of the incident.
137,0,64.38960249529299,Theft,Night,Dry,Fog,no,fraud-related-damage,no,yes,yes,1,1,0,A brief description of the incident.
138,0,66.07712995263212,Natural Disaster,Morning,Dry,Fog,no,fraud-related-damage,no,yes,yes,1,1,0,A brief description of the incident.
139,0,83.54940665787252,Fire,Morning,Dry,Fog,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
140,0,83.33194089601321,Collision,Evening,Construction Zone,Heavy Rain,yes,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
141,0,62.85247118988013,Collision,Night,Wet,Fog,yes,fraud-related-damage,no,yes,no,0,0,0,A brief description of the incident.
142,0,50.905861341369075,Natural Disaster,Evening,Construction Zone,Fog,no,fraud-related-damage,no,no,yes,0,0,2,A brief description of the incident.
143,0,51.604598594043914,Fire,Afternoon,Wet,Heavy Rain,no,fraud-related-damage,no,yes,no,1,1,1,A brief description of the incident.
144,0,67.90344797251456,Fire,Afternoon,Dry,Heavy Rain,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
145,0,46.41001968147046,Collision,Afternoon,Construction Zone,Rain,no,fraud-related-damage,no,no,yes,1,1,1,A brief description of the incident.
146,0,64.26733464546814,Vandalism,Night,Wet,Rain,no,fraud-related-damage,no,no,yes,1,0,2,A brief description of the incident.
147,0,61.01791245598138,Theft,Night,Construction Zone,Clear,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
148,0,61.4357847054076,Theft,Morning,Construction Zone,Clear,no,fraud-related-damage,no,no,yes,1,0,2,A brief description of the incident.
149,0,69.39947493665505,Theft,Evening,Construction Zone,Fog,no,fraud-related-damage,no,no,no,1,0,1,A brief description of the incident.
150,0,41.43343826919208,Natural Disaster,Evening,Poor Visibility,Clear,no,fraud-related-damage,no,no,yes,0,0,2,A brief description of the incident.
151,0,83.00285494977342,Fire,Afternoon,Dry,Fog,no,fraud-related-damage,no,yes,no,1,0,0,A brief description of the incident.
152,0,66.01850825486093,Vandalism,Morning,Wet,Heavy Rain,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
153,0,63.03749925288739,Collision,Morning,Dry,Heavy Rain,no,fraud-related-damage,no,yes,yes,1,0,2,A brief description of the incident.
154,0,71.65439364266079,Theft,Night,Dry,Clear,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
155,0,22.1412463769887,Collision,Evening,Dry,Heavy Rain,no,fraud-related-damage,yes,no,yes,0,1,2,A brief description of the incident.
156,0,76.07807801659536,Fire,Evening,Dry,Fog,no,fraud-related-damage,yes,no,yes,1,0,1,A brief description of the incident.
157,0,73.04098684874329,Fire,Morning,Wet,Rain,yes,fraud-related-damage,no,no,yes,1,0,1,A brief description of the incident.
158,0,55.57078465518598,Theft,Evening,Construction Zone,Rain,no,fraud-related-damage,yes,no,yes,0,0,1,A brief description of the incident.
159,0,84.56007469419146,Theft,Night,Wet,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
160,0,62.82358637551099,Collision,Morning,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
161,0,70.87778756525579,Natural Disaster,Morning,Poor Visibility,Rain,no,fraud-related-damage,yes,no,yes,1,1,0,A brief description of the incident.
162,0,68.28070732632239,Natural Disaster,Morning,Dry,Heavy Rain,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
163,0,84.3013905741094,Theft,Morning,Dry,Fog,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
164,0,82.30030448228891,Collision,Night,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
165,0,84.77324205157218,Natural Disaster,Morning,Construction Zone,Rain,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
166,0,81.4792563118638,Vandalism,Night,Construction Zone,Rain,no,fraud-related-damage,no,yes,no,1,0,0,A brief description of the incident.
167,0,80.70279787675847,Natural Disaster,Afternoon,Construction Zone,Fog,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
168,0,62.02676112856853,Theft,Evening,Wet,Fog,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
169,0,46.60517902672972,Natural Disaster,Night,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,yes,yes,0,1,0,A brief description of the incident.
170,0,57.282092084414785,Theft,Afternoon,Poor Visibility,Rain,no,fraud-related-damage,no,no,yes,0,0,1,A brief description of the incident.
171,0,75.2842901529362,Fire,Afternoon,Dry,Fog,no,fraud-related-damage,no,no,yes,1,0,1,A brief description of the incident.
172,0,76.22535661931354,Natural Disaster,Morning,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
173,0,80.66809798042219,Theft,Afternoon,Dry,Fog,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
174,0,84.47054484567536,Natural Disaster,Night,Wet,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
175,0,85.7096397787795,Natural Disaster,Night,Poor Visibility,Clear,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
176,0,65.89841637521656,Fire,Afternoon,Dry,Rain,no,fraud-related-damage,no,no,no,0,0,0,A brief description of the incident.
177,0,44.108438873627684,Theft,Evening,Poor Visibility,Fog,no,fraud-related-damage,yes,no,no,0,1,0,A brief description of the incident.
178,0,76.60662133988605,Collision,Afternoon,Poor Visibility,Clear,no,fraud-related-damage,yes,no,yes,1,0,1,A brief description of the incident.
179,0,80.32538168402411,Fire,Morning,Construction Zone,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
180,0,81.75206210902908,Collision,Afternoon,Poor Visibility,Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
181,0,88.74657308071559,Collision,Night,Construction Zone,Clear,yes,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
182,0,76.34612829988723,Theft,Morning,Poor Visibility,Clear,yes,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
183,0,52.008682945069225,Collision,Evening,Wet,Rain,no,fraud-related-damage,no,yes,yes,1,0,3,A brief description of the incident.
184,0,82.28162919158281,Collision,Afternoon,Dry,Fog,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
185,0,86.40108078598875,Natural Disaster,Night,Construction Zone,Heavy Rain,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
186,0,83.81804880958414,Collision,Evening,Dry,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
187,0,82.79256963597217,Vandalism,Afternoon,Construction Zone,Fog,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
188,0,76.97197979334808,Collision,Morning,Construction Zone,Clear,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
189,0,81.15861216146168,Collision,Morning,Dry,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
190,0,69.23883822426745,Theft,Morning,Wet,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,1,A brief description of the incident.
191,0,82.44274094678005,Vandalism,Night,Dry,Clear,no,fraud-related-damage,yes,yes,no,1,0,0,A brief description of the incident.
192,0,83.32482479730709,Vandalism,Afternoon,Dry,Heavy Rain,no,fraud-related-damage,yes,no,no,1,0,0,A brief description of the incident.
193,0,49.07998519711498,Vandalism,Evening,Construction Zone,Clear,no,fraud-related-damage,yes,no,yes,0,1,0,A brief description of the incident.
194,0,73.66094508517804,Vandalism,Morning,Dry,Fog,no,fraud-related-damage,yes,no,yes,1,0,1,A brief description of the incident.
195,0,80.06595248476877,Theft,Evening,Wet,Fog,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
196,0,52.63399488293166,Natural Disaster,Night,Wet,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,0,3,A brief description of the incident.
197,0,84.4565854679534,Theft,Evening,Dry,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
198,0,68.7514064251013,Vandalism,Afternoon,Construction Zone,Fog,yes,fraud-related-damage,no,no,no,1,0,1,A brief description of the incident.
199,0,83.01975110476926,Vandalism,Night,Construction Zone,Fog,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
200,0,77.41271095608228,Natural Disaster,Afternoon,Poor Visibility,Fog,no,fraud-related-damage,yes,no,yes,1,0,1,A brief description of the incident.
201,0,82.66634933650654,Fire,Morning,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
202,0,60.957867843809865,Vandalism,Afternoon,Wet,Rain,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
203,0,38.04107979438277,Theft,Morning,Wet,Heavy Rain,no,fraud-related-damage,no,no,yes,0,0,3,A brief description of the incident.
204,0,87.84112022381566,Theft,Afternoon,Wet,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
205,0,81.09006491026635,Vandalism,Morning,Poor Visibility,Rain,yes,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
